species_name,bbch_code,percentile_5,percentile_25,percentile_75,percentile_95,aberration_start_day,aberration_end_day
Prunus avium var. burlat,95,257,278,307,329,248,334
Prunus cerasus var. griotte de Montmorency,11,100,101,102,103,,
Prunus cerasus var. griotte de Montmorency,15,114,114,114,114,,
Prunus cerasus var. griotte de Montmorency,61,81,87,96,107,,
Prunus cerasus var. griotte de Montmorency,65,97,97,105,116,,
Prunus cerasus var. griotte de Montmorency,85,153,155,160,162,,
Prunus cerasus var. griotte de Montmorency,91,302,302,302,302,,
Prunus cerasus var. griotte de Montmorency,95,314,321,339,346,,
Prunus domestica,11,69,88,103,111,62,113
Prunus domestica,15,81,93,108,117,74,124
Prunus domestica,61,55,78,98,107,40,111
Prunus domestica,65,62,80,100,109,54,116
Prunus domestica,85,141,214,243,262,124,265
Prunus domestica,91,223,245,283,301,223,303
Prunus domestica,95,233,263,293,311,228,313
Prunus domestica var. mirabelle de Nancy,11,64,87,107,119,43,122
Prunus domestica var. mirabelle de Nancy,15,81,91,107,122,77,127
Prunus domestica var. mirabelle de Nancy,61,61,80,101,119,48,121
Prunus domestica var. mirabelle de Nancy,65,69,81,107,122,64,125
Prunus domestica var. mirabelle de Nancy,85,178,220,232,246,132,246
Prunus domestica var. mirabelle de Nancy,91,231,243,261,270,230,272
Prunus domestica var. mirabelle de Nancy,95,242,263,287,315,161,318
Prunus domestica var. quetsche,11,104,106,110,112,104,112
Prunus domestica var. quetsche,15,102,104,109,113,102,114
Prunus domestica var. quetsche,61,86,92,101,106,85,107
Prunus domestica var. quetsche,65,94,98,108,114,94,116
Prunus dulcis,11,45,66,80,96,28,98
Prunus dulcis,15,60,71,91,102,48,103
Prunus dulcis,61,22,40,61,76,11,79
Prunus dulcis,65,32,49,69,80,91,87
Prunus dulcis,85,186,230,286,310,139,310
Prunus dulcis,91,215,235,275,321,212,329
Prunus dulcis,95,223,241,284,311,223,324
Prunus dulcis var. princesse,11,68,70,75,77,,
Prunus dulcis var. princesse,15,58,58,58,58,,
Prunus dulcis var. princesse,65,60,60,60,60,,
Pyrus communis,11,75,89,104,115,70,116
Pyrus communis,15,77,95,112,122,70,123
Pyrus communis,61,73,88,105,114,70,118
Pyrus communis,65,79,92,109,119,78,123
Pyrus communis,85,200,235,274,289,193,289
Pyrus communis,91,241,262,285,299,213,317
Pyrus communis,95,262,284,299,315,237,322
Pyrus communis var. Williams,11,80,92,106,113,75,116
Pyrus communis var. Williams,15,88,94,108,116,86,119
Pyrus communis var. Williams,61,82,86,101,104,80,106
Pyrus communis var. Williams,65,85,91,106,117,84,118
Pyrus communis var. Williams,85,232,236,251,289,,
Pyrus communis var. Williams,91,268,274,287,292,,
Pyrus communis var. Williams,95,247,280,286,286,,
Quercus pubescens,11,84,102,115,125,77,128
Quercus pubescens,15,96,108,123,136,90,143
Quercus pubescens,61,97,109,120,126,96,130
Quercus pubescens,65,98,115,125,136,94,145
Quercus pubescens,85,150,276,295,297,130,298
Quercus pubescens,91,252,292,315,325,251,329
Quercus pubescens,95,259,303,323,333,71,336
Robinia pseudoacacia,11,83,94,116,126,74,130
Robinia pseudoacacia,15,96,105,124,137,90,146
Robinia pseudoacacia,61,114,130,147,157,109,171
Robinia pseudoacacia,65,109,130,149,163,106,166
Robinia pseudoacacia,91,260,277,295,310,259,311
Robinia pseudoacacia,95,278,294,312,321,275,325
Sambucus nigra L.,11,41,49,63,105,40,119
Sambucus nigra L.,15,56,69,90,108,54,124
Sambucus nigra L.,61,105,108,134,156,104,166
Sambucus nigra L.,65,121,127,156,172,121,176
Sambucus nigra L.,85,205,214,237,252,,
Sambucus nigra L.,91,195,237,267,282,,
Sambucus nigra L.,95,248,269,293,296,,
Sorbus aucuparia,11,81,89,109,139,76,140
Sorbus aucuparia,15,86,98,114,144,82,154
Sorbus aucuparia,61,99,109,128,166,98,175
Sorbus aucuparia,65,106,124,134,163,102,166
Sorbus aucuparia,85,183,206,246,284,171,292
Sorbus aucuparia,91,257,283,300,308,253,309
Sorbus aucuparia,95,269,286,310,314,266,314
Spartium junceum,61,87,111,131,149,82,151
Syringa vulgaris,11,66,76,96,111,61,121
Syringa vulgaris,15,72,83,103,121,69,138
Syringa vulgaris,61,91,100,113,126,83,131
Syringa vulgaris,65,96,104,119,131,95,137
Viburnum tinus,61,11,44,98,312,11,326
Viburnum tinus,65,4,58,89,113,11,131
Viburnum tinus,85,45,144,274,316,12,319
Astragalus tragacantha,61,103,103,103,103,103,103
Cephalanthera longifolia,61,106,111,142,162,105,169
Cistus albidus,61,92,100,124,140,90,143
Colchicum autumnale L.,61,236,239,259,265,235,265
Convallaria majalis L.,61,93,103,116,126,90,124
Dactylorhiza sambucina,61,104,107,114,115,104,116
Galanthus nivalis L.,61,10,23,45,65,9,78
Himantoglossum hircinum,61,101,137,150,179,100,180
Himantoglossum robertianum,61,43,48,75,115,42,115
Lavandula intermedia,61,158,163,177,184,158,185
Malva sylvestris,61,88,139,167,251,48,299
Papaver rhoeas L.,61,88,110,140,167,82,172
Primula veris,61,51,71,93,105,47,122
Taraxacum officinale,61,30,57,91,120,95,187
Tussilago farfara,61,38,62,78,100,24,175
Apus apus,apparition,92,109,123,135,84,167
Bufo bufo,apparition,11,44,132,212,20,231
Coccinella sp.,apparition,42,66,104,145,35,183
Cuculus canorus,apparition,80,92,106,122,74,133
Delichon urbica,apparition,66,88,120,148,58,155
Gonepteryx rhamni,apparition,29,54,80,107,19,136
Himantopus himantopus,apparition,47,62,93,142,36,171
Hirundo rustica,apparition,65,83,99,118,60,124
Luscinia megarhynchos,apparition,79,101,113,128,76,135
Malpolon monspessulanus,apparition,101,103,107,109,101,109
Merops apiaster,apparition,94,110,127,207,83,224
Milvus migrans,apparition,50,64,87,137,47,146
Natrix natrix,apparition,74,90,160,217,71,221
Salamandra salamandra,apparition,25,49,108,292,20,300
Podarcis muralis,apparition,33,52,81,131,24,181
Lacerta bilineata,apparition,68,85,122,208,62,226
Tarentola mauretanica,apparition,53,70,199,324,50,337
